MobileNo,FirstName,LastName,Email,GroupName
9652148280,DVSR,chandra,dvsr009@gmail.com,Sales Group
971555778461,Chandra,Chandra Test,ash007@gmail.com,Sales Group
971502831759,VM,Krishnayya,vmkrishnayya002@gmail.com,Sales Group
971554918395,Padmakar,Padmakar Test,Ivana007@gmail.com,Sales Group
971503501457,Jahnavi,Jahnavi Test,yasmine007@gmail.com,Sales Group
971555137842,Radha,Radha Test,andrea007@gmail.com,Sales Group
971559950642,Srinivas,Srinivas Test,richard007@gmail.com,Sales Group
971549986443,rajam raju,rajam raju Test,ashraf007@gmail.com,Sales Group
971506535831,L Srinivas,L Srinivas Test,preetima007@gmail.com,Sales Group
971565494757,Govidarajulu,Govidarajulu Test,ahmar007@gmail.com,Sales Group
971506251376,Adi Narayana,Adi Narayana Test,nora007@gmail.com,Sales Group
971551512099,Vamsi Krishna,Vamsi Krishna Test,johnson007@gmail.com,Sales Group
971502767441,Nannayya,Nannayya Test,bryan007@gmail.com,Sales Group
971509119426,Tikkanna,Tikkanna Test,james007@gmail.com,Sales Group
971555778461,ABC,ABC Test,abc100@gmail.com,Winners Group
971502831759,DEF,DEF Test,def100@gmail.com,Winners Group
971554918395,GHI,GHI Test,ghi100@gmail.com,Winners Group
971503501457,JKL,JKL Test,jkl100@gmail.com,Winners Group
971555137842,MNO,MNO Test,mno100@gmail.com,Winners Group
971559950642,PQR,PQR Test,pqr100@gmail.com,Winners Group
971549986443,STU,STU Test,stu100@gmail.com,Winners Group
971506535831,VWX,VWX Test,vwx100@gmail.com,Winners Group
971565494757,YZA,YZA Test,yza100@gmail.com,Winners Group
971506251376,BCD,BCD Test,bcd100@gmail.com,Winners Group
971551512099,EFG,EFG Test,efg100@gmail.com,Winners Group
971502767441,HIJ,HIJ Test,hij100@gmail.com,Winners Group
971509119426,KLM,KLM Test,klm100@gmail.com,Winners Group
7730940159,Gautam,Raghavan,,Sales Group
9848098480,ISRO1,SRKT1,jumptest@gmail.com,Sales Group
9848098480,ISRO1,SRKT1,jumptest@gmail.com,Winners Group
9848098481,ISRO2,SRKT2,jumptest@gmail.com,Sales Group
9848098482,ISRO2,SRKT2,jumptest@gmail.com,Winners Group
9748097480,Ramulu,G,ramulug@gmail.com,Sales Group
9748097480,Ramulu,G,ramulug@gmail.com,Winners Group
971665778461,VM,Ramayya,vmramayya001@gmail.com,Sales Group
971555918395,VM,Dhananjaya,vmDhananjaya003@gmail.com,Sales Group
971555778461,Naresh,Pavan,ash007@gmail.com,SRSH
971502831759,Prasad,Durga,Nadia007@gmail.com,SRSH
971554918395,satya,sri,Ivana007@gmail.com,SRSH
971503501457,Jahnavi,Jahnavi Test,yasmine007@gmail.com,SRSH
971555137842,Radha,Radha Test,andrea007@gmail.com,SRSH
971559950642,Srinivas,Srinivas Test,richard007@gmail.com,SRSH
971549986443,rajam raju,rajam raju Test,ashraf007@gmail.com,SRSH
971506535831,L Srinivas,L Srinivas Test,preetima007@gmail.com,SRSH
971565494757,Govidarajulu,Govidarajulu Test,ahmar007@gmail.com,SRSH
971506251376,Adi Narayana,Adi Narayana Test,nora007@gmail.com,SRSH
971551512099,Vamsi Krishna,Vamsi Krishna Test,johnson007@gmail.com,SRSH
971502767441,Nannayya,Nannayya Test,bryan007@gmail.com,SRSH
971509119426,Tikkanna,Tikkanna Test,james007@gmail.com,SRSH
